CUSTOMER                      ,PAYEE                         ,PROC/PAY DATE       ,EFFECT/GOOD FUNDS/CH,CHECK/PAYMENT TRACE NUMBER    ,TOTAL CRED
KMART CORPORATION             ,GARDEN STATE GROWERS          ,20050425            ,20050425            ,'770117935                    ,00032251.4

INVOICE DATE                  ,INVOICE/CREDIT MEMO NUMBER    ,PO NUMBER           ,OUTBOUND-FROM PARTY ,RETURN GOODS AUTH NUMBER ,STORE NUMBER   ,NET AMOUNT,ADJUSTMENT,GROSS AMOUNT   ,ORIGINAL INVOICE NUMBER  ,ADJUSTMENT REASON        ,NOTES,DOCUMENT DATE                 ,OTHER DISC AMT      ,DEPT NUMBER         
20050415                      ,'                             ,'0020050416         ,                    ,                         ,03414          ,0000221.62,0000000000,000000000221.62,                         ,                         ,,20050415                      ,0000000000,'043                
20050416                      ,'                             ,'0020050421         ,                    ,                         ,03414          ,00000002.6,0000000000,0000000000002.6,                         ,                         ,,20050416                      ,0000000000,'043                
20050416                      ,'                             ,'0020050417         ,                    ,                         ,03414          ,0000560.91,0000000000,000000000560.91,                         ,                         ,,20050416                      ,0000000000,'043                
20050414                      ,'                             ,'0020050415         ,                    ,                         ,03522          ,0000193.69,0000000000,000000000193.69,                         ,                         ,,20050414                      ,0000000000,'043                
20050415                      ,'                             ,'0020050416         ,                    ,                         ,03522          ,0000083.75,0000000000,000000000083.75,                         ,                         ,,20050415                      ,0000000000,'043                
20050416                      ,'                             ,'0020050417         ,                    ,                         ,03522          ,0000366.37,0000000000,000000000366.37,                         ,                         ,,20050416                      ,0000000000,'043                
20050414                      ,'                             ,'0020050415         ,                    ,                         ,03523          ,0000510.54,0000000000,000000000510.54,                         ,                         ,,20050414                      ,0000000000,'043                
20050415                      ,'                             ,'0020050416         ,                    ,                         ,03523          ,0000444.94,0000000000,000000000444.94,                         ,                         ,,20050415                      ,0000000000,'043                
20050416                      ,'                             ,'0020050417         ,                    ,                         ,03523          ,0000602.84,0000000000,000000000602.84,                         ,                         ,,20050416                      ,0000000000,'043                
20050414                      ,'                             ,'0020050415         ,                    ,                         ,03524          ,0000902.65,0000000000,000000000902.65,                         ,                         ,,20050414                      ,0000000000,'043                
20050415                      ,'                             ,'0020050416         ,                    ,                         ,03524          ,0000769.75,0000000000,000000000769.75,                         ,                         ,,20050415                      ,0000000000,'043                
20050416                      ,'                             ,'0020050417         ,                    ,                         ,03524          ,0001119.41,0000000000,000000001119.41,                         ,                         ,,20050416                      ,0000000000,'043                
20050414                      ,'                             ,'0020050415         ,                    ,                         ,03527          ,00000110.4,0000000000,0000000000110.4,                         ,                         ,,20050414                      ,0000000000,'043                
20050415                      ,'                             ,'0020050416         ,                    ,                         ,03527          ,00000110.4,0000000000,0000000000110.4,                         ,                         ,,20050415                      ,0000000000,'043                
20050416                      ,'                             ,'0020050417         ,                    ,                         ,03527          ,00000320.7,0000000000,0000000000320.7,                         ,                         ,,20050416                      ,0000000000,'043                
20050415                      ,'                             ,'0020050416         ,                    ,                         ,03544          ,00000006.5,0000000000,0000000000006.5,                         ,                         ,,20050415                      ,0000000000,'043                
20050414                      ,'                             ,'0020050421         ,                    ,                         ,03558          ,00000005.2,0000000000,0000000000005.2,                         ,                         ,,20050414                      ,0000000000,'043                
20050414                      ,'                             ,'0020050415         ,                    ,                         ,03558          ,00000093.5,0000000000,0000000000093.5,                         ,                         ,,20050414                      ,0000000000,'043                
20050415                      ,'                             ,'0020050421         ,                    ,                         ,03558          ,00000007.8,0000000000,0000000000007.8,                         ,                         ,,20050415                      ,0000000000,'043                
20050415                      ,'                             ,'0020050416         ,                    ,                         ,03558          ,00000137.6,0000000000,0000000000137.6,                         ,                         ,,20050415                      ,0000000000,'043                
20050416                      ,'                             ,'0020050421         ,                    ,                         ,03558          ,00000011.7,0000000000,0000000000011.7,                         ,                         ,,20050416                      ,0000000000,'043                
20050416                      ,'                             ,'0020050417         ,                    ,                         ,03558          ,0000137.01,0000000000,000000000137.01,                         ,                         ,,20050416                      ,0000000000,'043                
20050414                      ,'                             ,'0020050421         ,                    ,                         ,03561          ,00000002.6,0000000000,0000000000002.6,                         ,                         ,,20050414                      ,0000000000,'043                
20050414                      ,'                             ,'0020050415         ,                    ,                         ,03561          ,0000110.81,0000000000,000000000110.81,                         ,                         ,,20050414                      ,0000000000,'043                
20050415                      ,'                             ,'0020050421         ,                    ,                         ,03561          ,00000003.9,0000000000,0000000000003.9,                         ,                         ,,20050415                      ,0000000000,'043                
20050415                      ,'                             ,'0020050416         ,                    ,                         ,03561          ,0000269.87,0000000000,000000000269.87,                         ,                         ,,20050415                      ,0000000000,'043                
20050416                      ,'                             ,'0020050421         ,                    ,                         ,03561          ,00000002.6,0000000000,0000000000002.6,                         ,                         ,,20050416                      ,0000000000,'043                
20050416                      ,'                             ,'0020050417         ,                    ,                         ,03561          ,0000342.32,0000000000,000000000342.32,                         ,                         ,,20050416                      ,0000000000,'043                
20050414                      ,'                             ,'0020050421         ,                    ,                         ,03643          ,00000003.9,0000000000,0000000000003.9,                         ,                         ,,20050414                      ,0000000000,'043                
20050414                      ,'                             ,'0020050415         ,                    ,                         ,03643          ,0000064.57,0000000000,000000000064.57,                         ,                         ,,20050414                      ,0000000000,'043                
20050415                      ,'                             ,'0020050421         ,                    ,                         ,03643          ,00000002.6,0000000000,0000000000002.6,                         ,                         ,,20050415                      ,0000000000,'043                
20050415                      ,'                             ,'0020050416         ,                    ,                         ,03643          ,0000102.02,0000000000,000000000102.02,                         ,                         ,,20050415                      ,0000000000,'043                
20050416                      ,'                             ,'0020050421         ,                    ,                         ,03643          ,00000007.8,0000000000,0000000000007.8,                         ,                         ,,20050416                      ,0000000000,'043                
20050416                      ,'                             ,'0020050417         ,                    ,                         ,03643          ,0000268.15,0000000000,000000000268.15,                         ,                         ,,20050416                      ,0000000000,'043                
20050414                      ,'                             ,'0020050421         ,                    ,                         ,03737          ,00000010.4,0000000000,0000000000010.4,                         ,                         ,,20050414                      ,0000000000,'043                
20050414                      ,'                             ,'0020050415         ,                    ,                         ,03737          ,0000510.39,0000000000,000000000510.39,                         ,                         ,,20050414                      ,0000000000,'043                
20050415                      ,'                             ,'0020050421         ,                    ,                         ,03737          ,00000019.5,0000000000,0000000000019.5,                         ,                         ,,20050415                      ,0000000000,'043                
20050415                      ,'                             ,'0020050416         ,                    ,                         ,03737          ,0000691.43,0000000000,000000000691.43,                         ,                         ,,20050415                      ,0000000000,'043                
20050416                      ,'                             ,'0020050421         ,                    ,                         ,03737          ,00000022.1,0000000000,0000000000022.1,                         ,                         ,,20050416                      ,0000000000,'043                
20050416                      ,'                             ,'0020050417         ,                    ,                         ,03737          ,0001230.71,0000000000,000000001230.71,                         ,                         ,,20050416                      ,0000000000,'043                
20050414                      ,'                             ,'0020050421         ,                    ,                         ,03825          ,00000002.6,0000000000,0000000000002.6,                         ,                         ,,20050414                      ,0000000000,'043                
20050414                      ,'                             ,'0020050415         ,                    ,                         ,03825          ,0000238.23,0000000000,000000000238.23,                         ,                         ,,20050414                      ,0000000000,'043                
20050415                      ,'                             ,'0020050416         ,                    ,                         ,03825          ,0000232.39,0000000000,000000000232.39,                         ,                         ,,20050415                      ,0000000000,'043                
20050416                      ,'                             ,'0020050421         ,                    ,                         ,03825          ,00000003.9,0000000000,0000000000003.9,                         ,                         ,,20050416                      ,0000000000,'043                
20050416                      ,'                             ,'0020050417         ,                    ,                         ,03825          ,0000614.88,0000000000,000000000614.88,                         ,                         ,,20050416                      ,0000000000,'043                
20050414                      ,'                             ,'0020050415         ,                    ,                         ,03990          ,0000311.42,0000000000,000000000311.42,                         ,                         ,,20050414                      ,0000000000,'043                
20050415                      ,'                             ,'0020050416         ,                    ,                         ,03990          ,0000222.77,0000000000,000000000222.77,                         ,                         ,,20050415                      ,0000000000,'043                
20050416                      ,'                             ,'0020050417         ,                    ,                         ,03990          ,0000499.88,0000000000,000000000499.88,                         ,                         ,,20050416                      ,0000000000,'043                
20050414                      ,'                             ,'0020050415         ,                    ,                         ,04344          ,0000189.69,0000000000,000000000189.69,                         ,                         ,,20050414                      ,0000000000,'043                
20050415                      ,'                             ,'0020050416         ,                    ,                         ,04344          ,0000172.86,0000000000,000000000172.86,                         ,                         ,,20050415                      ,0000000000,'043                
20050416                      ,'                             ,'0020050417         ,                    ,                         ,04344          ,0000692.82,0000000000,000000000692.82,                         ,                         ,,20050416                      ,0000000000,'043                
20050414                      ,'                             ,'0020050421         ,                    ,                         ,04361          ,00000006.5,0000000000,0000000000006.5,                         ,                         ,,20050414                      ,0000000000,'043                
20050414                      ,'                             ,'0020050415         ,                    ,                         ,04361          ,0000175.28,0000000000,000000000175.28,                         ,                         ,,20050414                      ,0000000000,'043                
20050415                      ,'                             ,'0020050421         ,                    ,                         ,04361          ,00000002.6,0000000000,0000000000002.6,                         ,                         ,,20050415                      ,0000000000,'043                
20050415                      ,'                             ,'0020050416         ,                    ,                         ,04361          ,0000154.27,0000000000,000000000154.27,                         ,                         ,,20050415                      ,0000000000,'043                
20050416                      ,'                             ,'0020050417         ,                    ,                         ,04361          ,0000293.16,0000000000,000000000293.16,                         ,                         ,,20050416                      ,0000000000,'043                
20050414                      ,'                             ,'0020050415         ,                    ,                         ,04397          ,0000280.11,0000000000,000000000280.11,                         ,                         ,,20050414                      ,0000000000,'043                
20050415                      ,'                             ,'0020050416         ,                    ,                         ,04397          ,0000400.54,0000000000,000000000400.54,                         ,                         ,,20050415                      ,0000000000,'043                
20050416                      ,'                             ,'0020050417         ,                    ,                         ,04397          ,0000441.38,0000000000,000000000441.38,                         ,                         ,,20050416                      ,0000000000,'043                
20050414                      ,'                             ,'0020050415         ,                    ,                         ,04470          ,0000231.78,0000000000,000000000231.78,                         ,                         ,,20050414                      ,0000000000,'043                
20050415                      ,'                             ,'0020050416         ,                    ,                         ,04470          ,00000248.4,0000000000,0000000000248.4,                         ,                         ,,20050415                      ,0000000000,'043                
