CUSTOMER                      ,PAYEE                         ,PROC/PAY DATE       ,EFFECT/GOOD FUNDS/CH,CHECK/PAYMENT TRACE NUMBER    ,TOTAL CRED
SEARS HOLDINGS MANAGEMENT CORP,PINEAE GREENHOUSES INC        ,20140508            ,20140508            ,'772637775                    ,0006040.12

INVOICE DATE                  ,INVOICE/CREDIT MEMO NUMBER    ,PO NUMBER           ,OUTBOUND-FROM PARTY ,RETURN GOODS AUTH NUMBER ,STORE NUMBER   ,NET AMOUNT,ADJUSTMENT,GROSS AMOUNT   ,ORIGINAL INVOICE NUMBER  ,ADJUSTMENT REASON        ,NOTES,DOCUMENT DATE                 ,OTHER DISC AMT      ,DEPT NUMBER         
20140423                      ,'                             ,'0020140424         ,                    ,                         ,07618          ,0000018.65,0000000000,000000000018.65,                         ,                         ,,20140423                      ,0000000000,'043                
20140425                      ,'                             ,'0020140426         ,                    ,                         ,07618          ,0000025.56,0000000000,000000000025.56,                         ,                         ,,20140425                      ,0000000000,'043                
20140426                      ,'                             ,'0020140427         ,                    ,                         ,07618          ,0000018.81,0000000000,000000000018.81,                         ,                         ,,20140426                      ,0000000000,'043                
20140420                      ,'                             ,'0020140421         ,                    ,                         ,07624          ,0000102.96,0000000000,000000000102.96,                         ,                         ,,20140420                      ,0000000000,'043                
20140421                      ,'                             ,'0020140422         ,                    ,                         ,07624          ,0000039.04,0000000000,000000000039.04,                         ,                         ,,20140421                      ,0000000000,'043                
20140422                      ,'                             ,'0020140423         ,                    ,                         ,07624          ,0000044.88,0000000000,000000000044.88,                         ,                         ,,20140422                      ,0000000000,'043                
20140423                      ,'                             ,'0020140424         ,                    ,                         ,07624          ,0000029.08,0000000000,000000000029.08,                         ,                         ,,20140423                      ,0000000000,'043                
20140424                      ,'                             ,'0020140425         ,                    ,                         ,07624          ,00000008.2,0000000000,0000000000008.2,                         ,                         ,,20140424                      ,0000000000,'043                
20140425                      ,'                             ,'0020140426         ,                    ,                         ,07624          ,0000059.79,0000000000,000000000059.79,                         ,                         ,,20140425                      ,0000000000,'043                
20140426                      ,'                             ,'0020140427         ,                    ,                         ,07624          ,0000008.88,0000000000,000000000008.88,                         ,                         ,,20140426                      ,0000000000,'043                
20140420                      ,'                             ,'0020140421         ,                    ,                         ,09074          ,00000012.4,0000000000,0000000000012.4,                         ,                         ,,20140420                      ,0000000000,'043                
